ds,y
2011-01-01,72136.59454063606
2011-01-02,116055.68736424921
2011-01-03,117177.83346873308
2011-01-04,119456.90516835386
2011-01-05,120018.19923166267
2011-01-06,120783.10786645462
2011-01-07,119987.09163276717
2011-01-08,119742.06931397544
2011-01-09,114866.5851387469
2011-01-10,117504.5844332499
2011-01-11,119053.81268247282
2011-01-12,117311.03016075863
2011-01-13,115721.83409324045
2011-01-14,116714.12183309301
2011-01-15,117708.24932045472
2011-01-16,115508.40987297262
2011-01-17,117319.72922978517
2011-01-18,117880.4601455247
2011-01-19,115944.57976453051
2011-01-20,115700.36294545718
2011-01-21,112915.34032856989
2011-01-22,111782.0182182602
2011-01-23,110915.84423742439
2011-01-24,112263.3418128983
2011-01-25,114386.27004255408
2011-01-26,112880.32336160353
2011-01-27,114543.89282838727
2011-01-28,115670.80307988032
2011-01-29,116857.55813647131
2011-01-30,111818.90545743944
2011-01-31,111808.3690261956
2011-02-01,113010.3707686679
2011-02-02,112951.8136451855
2011-02-03,113562.25078343776
2011-02-04,114627.96633327832
2011-02-05,116594.5087214269
2011-02-06,112450.09945680072
2011-02-07,111389.73629231531
2011-02-08,113332.86445457929
2011-02-09,114301.63824863819
2011-02-10,113974.33875082585
2011-02-11,116179.58912303235
2011-02-12,116359.87200725777
2011-02-13,113240.36462354439
2011-02-14,116194.27085976828
2011-02-15,114283.46237462679
2011-02-16,113666.13269470788
2011-02-17,114498.8552715211
2011-02-18,117583.68882417941
2011-02-19,120554.78611961025
2011-02-20,116300.67677626056
2011-02-21,118291.56593443628
2011-02-22,119069.63845706312
2011-02-23,116294.40868952901
2011-02-24,116489.992309665
2011-02-25,117743.14267805636
2011-02-26,119419.06677048835
2011-02-27,114138.58394871221
2011-02-28,111207.59661922856
2011-03-01,110682.35049001496
2011-03-02,109764.35050765512
2011-03-03,110636.3915877508
2011-03-04,112055.45442204409
2011-03-05,115083.15665826453
2011-03-06,112807.98637900238
2011-03-07,114424.53315824608
2011-03-08,113807.41432983645
2011-03-09,113407.347514773
2011-03-10,115187.79788341075
2011-03-11,115551.27567511021
2011-03-12,116953.75235323032
2011-03-13,113492.86086071958
2011-03-14,113385.10471572944
2011-03-15,114937.22389222264
