ds,y
2012-10-02,63289
2012-10-03,66345
2012-10-04,89939
2012-10-05,93336
2012-10-06,74910
2012-10-07,67290
2012-10-08,82135
2012-10-09,86717
2012-10-10,98252
2012-10-11,74325
2012-10-12,80516
2012-10-13,70500
2012-10-14,105532
2012-10-15,89400
2012-10-16,89471
2012-10-17,91414
2012-10-18,88380
2012-10-19,133146
2012-10-20,131124
2012-10-21,16800
2012-10-22,64530
2012-10-23,84902
2012-10-24,196654
2012-10-25,188892
2012-10-26,189583
2012-10-27,73567
2012-10-28,56486
2012-10-29,84458
2012-10-30,88196
2012-10-31,86737
2012-11-01,90283
2012-11-02,91305
2012-11-03,67443
2012-11-04,58234
2012-11-05,77167
2012-11-06,98248
2012-11-07,152875
2012-11-08,90705
2012-11-09,93127
2012-11-10,67384
2012-11-11,101193
2012-11-12,74086
2012-11-13,93197
2012-11-14,95604
2012-11-15,88701
2012-11-16,90657
2012-11-17,63916
2012-11-18,55934
2012-11-19,84382
2012-11-20,89479
2012-11-21,124163
2012-11-22,47386
2012-11-23,85336
2012-11-24,53954
2012-11-25,54139
2012-11-26,76540
2012-11-27,85147
2012-11-28,85818
2012-11-29,87058
2012-11-30,87308
2012-12-01,121619
2012-12-02,75663
2012-12-03,115016
2012-12-04,103001
2012-12-05,87489
2012-12-06,90901
2012-12-07,89706
2012-12-08,79458
2012-12-09,29008
2012-12-10,195340
2012-12-11,79143
2012-12-12,94193
2012-12-13,87392
2012-12-14,97124
2012-12-15,63738
2012-12-16,180334
2012-12-17,83970
2012-12-18,144722
2012-12-19,154038
2012-12-20,98935
2012-12-21,127626
2012-12-22,61985
2012-12-23,49031
2012-12-24,54436
2012-12-25,40082
2012-12-26,70787
2012-12-27,75138
2012-12-28,102880
2012-12-29,96681
2012-12-30,66016
2012-12-31,75720
2013-01-01,39817
2013-01-02,90601
2013-01-03,148677
2013-01-04,105487
2013-01-05,55251
2013-01-06,58381
2013-01-07,80652
2013-01-08,74018
2013-01-09,74978
2013-01-10,24944
2013-01-11,109877
2013-01-12,140880
2013-01-13,38604
2013-01-14,110040
2013-01-15,73719
2013-01-16,84035
2013-01-17,99157
2013-01-18,87969
2013-01-19,66082
2013-01-20,39631
2013-01-21,57331
2013-01-22,65215
2013-01-23,83333
2013-01-24,82285
2013-01-25,65526
2013-01-26,16041
2013-01-27,28477
2013-01-28,60492
2013-01-29,434
2013-01-30,90004
2013-01-31,74542
2013-02-01,85403
2013-02-02,67192
2013-02-03,49492
2013-02-04,79753
2013-02-05,76026
2013-02-06,64135
2013-02-07,67814
2013-02-08,100338
2013-02-09,58724
2013-02-10,34176
2013-02-11,184535
2013-02-12,81913
2013-02-13,70715
2013-02-14,126711
2013-02-15,78901
2013-02-16,67101
2013-02-17,67234
2013-02-18,74809
2013-02-19,74957
2013-02-20,56808
2013-02-21,79255
2013-02-22,73732
2013-02-23,90107
2013-02-24,60534
2013-02-25,96105
2013-02-26,103904
2013-02-27,130942
2013-02-28,66710
2013-03-01,90698
2013-03-02,69385
2013-03-03,56799
2013-03-04,61653
2013-03-05,67892
2013-03-06,78973
2013-03-07,55751
2013-03-08,98409
2013-03-09,52390
